kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
2859893,K04418.01,,CANDIDATE,CANDIDATE,,0,0,0,0,333.03842,0.01064,-0.01064,220.9235,0.0262,-0.0262,0.2184,0.2474,-0.2184,5.948,0.685,-0.685,1260.0,221.0,-221.0,3.19,1.16,-0.26,247.0,0.89,0.96,-0.23,7.0,,,5743.0,171.0,-183.0,4.534,0.028,-0.273,0.903,0.328,-0.072,293.01489,38.012402,15.954
9071593,K02257.01,Kepler-1162 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,32.5635249,0.0002369,-0.0002369,163.46038,0.00564,-0.00564,0.371,0.094,-0.371,5.418,0.169,-0.169,578.3,26.5,-26.5,2.05,0.15,-0.12,490.0,13.63,3.1,-2.23,24.1,1.0,q1_q17_dr25_tce,5225.0,83.0,-73.0,4.505,0.054,-0.054,0.859,0.063,-0.051,283.29214,45.434109,15.48
8868481,K05578.01,,CANDIDATE,CANDIDATE,,0,0,0,0,388.048463,0.006305,-0.006305,295.8353,0.0147,-0.0147,0.1973,0.258,-0.1972,3.456,0.603,-0.603,149.6,20.1,-20.1,3.0,0.14,-0.14,376.0,4.71,0.67,-0.64,8.3,1.0,q1_q16_tce,5779.0,67.0,-67.0,3.765,0.017,-0.018,2.46,0.11,-0.12,284.31519,45.132259,11.084
6026924,K04276.01,Kepler-1580 b,CONFIRMED,CANDIDATE,0.979,0,0,0,0,56.644452,0.00106,-0.00106,138.762,0.0128,-0.0128,0.579,0.035,-0.471,16.551,0.56,-0.56,104.6,5.7,-5.7,2.44,0.45,-0.55,733.0,68.37,35.54,-30.26,21.8,1.0,q1_q17_dr25_tce,6237.0,124.0,-111.0,3.862,0.182,-0.098,2.295,0.425,-0.519,285.96872,41.363564,12.561
8107380,K00162.01,Kepler-476 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,14.00640392,1.731e-05,-1.731e-05,142.20885,0.001,-0.001,0.568,0.286,-0.368,4.6919,0.0396,-0.0396,716.4,7.6,-7.6,3.11,0.45,-0.41,807.0,100.09,42.19,-30.5,109.3,1.0,q1_q17_dr25_tce,5788.0,116.0,-116.0,4.323,0.132,-0.108,1.124,0.164,-0.148,295.16382,43.963039,13.837
9210738,K05639.01,,CANDIDATE,CANDIDATE,,0,0,0,0,279.21957,0.01756,-0.01756,179.9274,0.0499,-0.0499,0.6009,0.007,-0.5088,10.015,0.963,-0.963,333.5,38.7,-38.7,4.92,2.69,-1.36,395.0,5.77,9.43,-3.08,10.5,1.0,q1_q16_tce,5159.0,127.0,-144.0,3.648,0.243,-0.338,2.604,1.424,-0.722,288.40182,45.677029,13.845
7366036,K06867.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,1,0.566801506,2.94e-06,-2.94e-06,131.7969,0.00372,-0.00372,0.369,0.115,-0.369,1.738,0.148,-0.148,29.5,2.0,-2.0,0.62,0.13,-0.08,2557.0,10156.53,6352.44,-3294.17,19.2,1.0,q1_q17_dr25_tce,6398.0,158.0,-174.0,4.358,0.092,-0.138,1.111,0.238,-0.146,292.79962,42.99033,11.656
7777365,K06916.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,0.88512187,1.603e-05,-1.603e-05,131.8821,0.0175,-0.0175,0.766,0.208,-0.515,3.349,0.346,-0.346,136.0,17.1,-17.1,1.05,0.19,-0.12,1659.0,1797.86,1088.4,-552.27,9.9,1.0,q1_q17_dr25_tce,5392.0,185.0,-185.0,4.521,0.067,-0.114,0.819,0.151,-0.088,298.83493,43.41951,15.871
5698524,K05193.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,228.196872,0.004917,-0.004917,323.9146,0.0165,-0.0165,0.5034,0.0526,-0.4179,3.525,0.411,-0.411,145.3,23.3,-23.3,1.42,0.6,-0.2,353.0,3.66,4.56,-1.27,6.9,1.0,q1_q16_tce,6425.0,160.0,-203.0,4.331,0.111,-0.264,1.138,0.485,-0.158,289.59616,40.92783,13.061
9591728,K05695.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,11.03571773,2.509e-05,-2.509e-05,137.28413,0.00316,-0.00316,0.911,0.047,-0.051,5.62958,0.00726,-0.00726,144960.0,167.0,-167.0,70.42,18.78,-20.61,991.0,227.54,186.19,-128.95,959.6,1.0,q1_q17_dr25_tce,6201.0,197.0,-219.0,4.213,0.258,-0.172,1.23,0.328,-0.36,293.3472,46.25544,14.916
